goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_1000_BytesBuffer-4                   	  100000	     23805 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     23863 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     24205 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     23989 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     24312 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     23863 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	  100000	     24271 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	     10138 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	     10090 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	      9968 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	     10150 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	      9873 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	     10186 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	      9887 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	      9827 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  100000	     10136 ns/op	   10232 B/op	      11 allocs/op
Benchmark_1000_StringsBuilder-4                	  200000	     10006 ns/op	   10232 B/op	      11 allocs/op
PASS
ok  	github.com/asserchiu/go-utils/strconcator	290.101s
